"","V_Remv","S_V1","S_V2","DRt"
"1",0,1,1,1
"2",1,0.964420894902509,0.960315927275821,0.992912335711836
"3",2,0.930107662524557,0.922206680179619,0.980506010944126
"4",3,0.897015264247614,0.885609763216647,0.965168888102416
"5",4,0.865100263886894,0.850465160967915,0.947834629784885
"6",5,0.834320770678196,0.816715239670683,0.929069790319052
"7",6,0.804636384293216,0.784304652704646,0.90926725021435
"8",7,0.776008141811183,0.753180249828803,0.888718700950429
"9",8,0.748398466577174,0.723290990020181,0.867649698824699
"10",9,0.721771118880024,0.694587857771476,0.846239295955813
"11",10,0.696091148385058,0.667023782710341,0.824632158265035
"12",11,0.671324848259233,0.640553562408507,0.802946585792508
"13",12,0.647439710928461,0.615133788254155,0.781280106307452
"14",13,0.624404385409048,0.590722774265978,0.759713538295964
"15",14,0.602188636157245,0.567280488732178,0.738314039103828
"16",15,0.580763303382892,0.544768488562322,0.717137452359231
"17",16,0.560100264775066,0.523149856244373,0.696230155043065
"18",17,0.540172398589502,0.502389139303528,0.675630537048665
"19",18,0.520953548049322,0.482452292163569,0.655370204241091
"20",19,0.502418487012364,0.463306620315403,0.635474969151682
"21",20,0.484542886860029,0.444920726701212,0.615965675627469
"22",21,0.467303284564195,0.427264460226307,0.596858891615761
"23",22,0.450677051890282,0.410308866314229,0.578167495790678
"24",23,0.434642365696051,0.394026139424039,0.559901177685254
"25",24,0.419178179287129,0.378389577451908,0.542066866599416
"26",25,0.404264194791697,0.363373537942235,0.524669101304517
"27",26,0.389880836518051,0.348953396036493,0.507710350123494
"28",27,0.376009225260078,0.335105504090832,0.491191289105078
"29",28,0.362631153516923,0.321807152896218,0.475111044573908
"30",29,0.34972906159432,0.309036534437524,0.459467405216119
"31",30,0.337286014556209,0.296772706130477,0.444257007973484
"32",31,0.3252856799964,0.284995556477843,0.429475501311964
"33",32,0.313712306601099,0.273685772088509,0.41511768886104
"34",33,0.302550703474162,0.262824806005375,0.401177655957576
"35",34,0.291786220197935,0.252394847290139,0.387648881249359
"36",35,0.281404727603513,0.242378791815069,0.374524335201079
"37",36,0.271392599225177,0.232760214213881,0.36179656708618
"38",37,0.261736693414663,0.223523340945722,0.349457781831285
"39",38,0.252424336091793,0.214653024428081,0.337499907897638
"40",39,0.243443304108819,0.206134718196212,0.325914657230011
"41",40,0.234781809206651,0.197954453048335,0.314693578172609
"42",41,0.226428482541908,0.19009881413749,0.303828102139774
"43",42,0.218372359764485,0.182554918972477,0.293309584733439
"44",43,0.210602866626037,0.175310396291817,0.283129341916746
"45",44,0.203109805100516,0.168353365776068,0.273278681781884
"46",45,0.195883339998514,0.16167241856525,0.263748932388278
"47",46,0.188913986057859,0.155256598549413,0.254531466093343
"48",47,0.182192595493521,0.149095384401669,0.24561772075092
"49",48,0.175710345990472,0.143178672324234,0.236999218111268
"50",49,0.169458729123761,0.137496759479167,0.228667579720222
"51",50,0.163429539190579,0.132040328076657,0.22061454058322
"52",51,0.157614862439683,0.126800430094738,0.212831960831721
"53",52,0.152007066684015,0.121768472605402,0.20531183560457
"54",53,0.146598791282903,0.116936203683017,0.198046303334801
"55",54,0.141382937480684,0.11229569887197,0.191027652612655
"56",55,0.136352659089066,0.107839348191323,0.184248327778159
"57",56,0.131501353501014,0.10355984365517,0.177700933380985
"58",57,0.126822653024339,0.0994501672882536,0.171378237631383
"59",58,0.122310416523644,0.0955035796171547,0.165273174953545
"60",59,0.117958721359631,0.0917136086182081,0.159378847741563
"61",60,0.113761855615211,0.0880740391040062,0.153688527408201
"62",61,0.109714310598192,0.0845789025310906,0.148195654807647
"63",62,0.10581077361072,0.0812224672121156,0.142893840105401
"64",63,0.102046120975978,0.0779992289164327,0.137776862161159
"65",64,0.098415411312982,0.074903901843683,0.132838667484015
"66",65,0.0949138790506646,0.0719314099555935,0.128073368813432
"67",66,0.0915369281727105,0.069076878651763,0.123475243374078
"68",67,0.0882801261849522,0.0663356267757872,0.119038730847871
"69",68,0.085139198297398,0.0637031589386128,0.114758431102201
"70",69,0.0821100218132588,0.0611751581465329,0.110629101709407
"71",70,0.0791886207176075,0.0587474787217327,0.106645655289038
"72",71,0.0763711604585705,0.0564161395037773,0.102803156701226
"73",72,0.0736539429141976,0.054177317320892,0.0990968201165969
"74",73,0.0710334015384088,0.0520273407203287,0.0955220059855283
"75",74,0.0685060966796415,0.0499626839475376,0.0920742179271858
"76",75,0.0660687110660577,0.0479799611642683,0.0887490995566194
"77",76,0.0637180454513826,0.0460759208961222,0.0855424312662538
"78",77,0.0614510144156612,0.0442474407004469,0.0824501269763441
"79",78,0.059264642315419,0.0424915220458316,0.0794682308673698
"80",79,0.0571560593779135,0.0408052853948037,0.0765929141058933
"81",80,0.0551224979343483,0.0391859654816655,0.0738204715741015
